net,length_um
_04005_,29.21µm
_04410_,29.18µm
_01975_,29.16µm
_05747_,29.16µm
_06330_,29.16µm
_01000_,29.13µm
_01843_,29.04µm
_03643_,29.02µm
_01223_,29µm
_06613_,28.98µm
_03770_,28.97µm
_01262_,28.94µm
_05386_,28.92µm
_03622_,28.9µm
_04138_,28.9µm
_04278_,28.84µm
_02609_,28.82µm
_05855_,28.82µm
_02155_,28.78µm
_02483_,28.76µm
net765,28.76µm
_01159_,28.68µm
net328,28.665µm
_00754_,28.62µm
_00151_,28.58µm
_01339_,28.57µm
_00847_,28.56µm
_01251_,28.56µm
_05287_,28.56µm
_02150_,28.54µm
_01501_,28.53µm
_05893_,28.49µm
_02879_,28.48µm
_02294_,28.44µm
_02449_,28.44µm
_02163_,28.4µm
_01774_,28.38µm
_01069_,28.36µm
_00710_,28.34µm
_01192_,28.34µm
_01652_,28.34µm
_00383_,28.32µm
_02333_,28.32µm
_05879_,28.32µm
_05512_,28.3µm
_05085_,28.26µm
_06247_,28.215µm
_01394_,28.19µm
_02174_,28.16µm
_04016_,28.14µm
_06593_,28.1µm
_00969_,28.08µm
_03182_,28.08µm
_00822_,28.04µm
_02716_,28.02µm
_06782_,28.02µm
_03342_,27.98µm
net196,27.94µm
_03929_,27.88µm
_03653_,27.86µm
_01081_,27.84µm
_01693_,27.84µm
_06808_,27.835µm
_06180_,27.82µm
_01968_,27.76µm
_03682_,27.76µm
_04151_,27.76µm
_06657_,27.76µm
_00471_,27.72µm
_00064_,27.68µm
_05988_,27.64µm
_01805_,27.58µm
_01335_,27.56µm
_02159_,27.56µm
_06693_,27.56µm
_02066_,27.54µm
_05674_,27.54µm
_06534_,27.54µm
_05062_,27.52µm
_06099_,27.52µm
_02785_,27.48µm
_06318_,27.48µm
_00755_,27.46µm
_02080_,27.42µm
_05924_,27.42µm
_03208_,27.38µm
_04376_,27.38µm
_06437_,27.38µm
_03519_,27.375µm
_00225_,27.32µm
_01854_,27.32µm
_05047_,27.32µm
_05584_,27.32µm
_00722_,27.3µm
_02132_,27.2µm
_03169_,27.2µm
_05868_,27.2µm
_05099_,27.19µm
_03593_,27.18µm
_02528_,27.16µm
_02704_,27.145µm
_01334_,27.14µm
_04911_,27.14µm
_02180_,27.12µm
_02326_,27.12µm
_06715_,27.12µm
_00475_,27.1µm
_03267_,27.1µm
_03341_,27.1µm
_03710_,27.1µm
_03887_,27.1µm
_01374_,27.06µm
_03328_,27.06µm
_03189_,27.055µm
_04825_,27.02µm
_06737_,27µm
_04201_,26.995µm
_03493_,26.98µm
_01941_,26.97µm
_01452_,26.96µm
_03514_,26.96µm
_05596_,26.84µm
_00545_,26.82µm
_03753_,26.82µm
_02261_,26.74µm
_01007_,26.735µm
_04792_,26.68µm
_04621_,26.66µm
_00740_,26.64µm
_01952_,26.64µm
_03820_,26.64µm
_04258_,26.64µm
_04649_,26.64µm
_01852_,26.62µm
_01602_,26.59µm
_06359_,26.585µm
_01798_,26.58µm
_03076_,26.58µm
_00043_,26.56µm
_01026_,26.56µm
_03045_,26.56µm
_03497_,26.52µm
_03487_,26.5µm
_02308_,26.46µm
_01427_,26.42µm
_00202_,26.38µm
_05961_,26.36µm
_02496_,26.34µm
_01121_,26.32µm
_06404_,26.285µm
_00434_,26.28µm
_01353_,26.26µm
_00835_,26.24µm
_04069_,26.21µm
_03815_,26.2µm
_01494_,26.16µm
_02549_,26.16µm
_06279_,26.16µm
_05894_,26.14µm
_00770_,26.12µm
_02654_,26.12µm
_00142_,26.11µm
_04717_,26.085µm
_03096_,26.08µm
_01135_,26.04µm
_01179_,26.04µm
_04913_,26µm
_02618_,25.965µm
_06085_,25.96µm
_01340_,25.94µm
_05567_,25.94µm
_01887_,25.92µm
_02740_,25.92µm
_00130_,25.82µm
_02049_,25.82µm
_05263_,25.82µm
_03198_,25.78µm
_06160_,25.74µm
_06014_,25.69µm
_05678_,25.6µm
_06355_,25.58µm
_05394_,25.52µm
_01297_,25.44µm
_05393_,25.4µm
_04970_,25.39µm
_01847_,25.38µm
_05063_,25.38µm
_00132_,25.36µm
_03275_,25.32µm
_03898_,25.32µm
_02416_,25.28µm
_01160_,25.24µm
_03221_,25.23µm
_03379_,25.22µm
_04549_,25.22µm
_00820_,25.18µm
_01279_,25.18µm
_03386_,25.16µm
_04533_,25.16µm
_02678_,25.14µm
_05970_,25.14µm
_00168_,25.1µm
_02428_,25.1µm
_03647_,25.1µm
_05551_,25.1µm
_01232_,25.08µm
_05715_,25.08µm
_05308_,24.98µm
_06094_,24.97µm
_02423_,24.94µm
_00664_,24.92µm
_01493_,24.9µm
_01190_,24.88µm
_05473_,24.88µm
_05275_,24.86µm
_04253_,24.84µm
_04922_,24.84µm
_01773_,24.8µm
_05546_,24.8µm
_05626_,24.8µm
_06526_,24.79µm
