Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_133_505,VGND,li1,238.2800,375.3600,0.001642
FILLER_133_503,VGND,li1,237.1300,375.3600,0.001642
FILLER_133_495,VGND,li1,235.0600,375.3600,0.001641
FILLER_133_483,VGND,li1,227.9300,375.3600,0.001636
FILLER_133_479,VGND,li1,226.7800,375.3600,0.001636
FILLER_133_467,VGND,li1,223.1000,375.3600,0.001632
FILLER_133_455,VGND,li1,215.0500,375.3600,0.001624
FILLER_133_449,VGND,li1,213.4400,375.3600,0.001624
FILLER_133_444,VGND,li1,210.6800,375.3600,0.001621
FILLER_133_432,VGND,li1,207.0000,375.3600,0.001615
FILLER_133_416,VGND,li1,197.8000,375.3600,0.001473
FILLER_133_393,VGND,li1,187.6800,375.3600,0.001163
FILLER_133_389,VGND,li1,185.1500,375.3600,0.001086
FILLER_133_373,VGND,li1,177.3300,375.3600,0.000843
FILLER_133_369,VGND,li1,176.1800,375.3600,0.000952
FILLER_133_356,VGND,li1,169.9700,375.3600,0.001272
FILLER_133_337,VGND,li1,163.3000,375.3600,0.001438
FILLER_133_334,VGND,li1,159.6200,375.3600,0.001549
FILLER_133_322,VGND,li1,156.4000,375.3600,0.001646
FILLER_133_317,VGND,li1,151.5700,375.3600,0.001791
FILLER_133_305,VGND,li1,148.5800,375.3600,0.001905
